key,section,type,include,default
Profile,common,str,false,
MarketWatch,common,str,false,
Login,common,int,true,
Password,common,str,true,
Server,common,str,true,
AutoConfiguration,common,bool,false,false
DataServer,common,str,false,
EnableDDE,common,bool,false,false
EnableNews,common,bool,false,false
ProxyEnable,proxy,bool,false,false
ProxyServer,proxy,str,false,
ProxyType,proxy,str,false,
ProxyLogin,proxy,str,false,
ProxyPassword,proxy,str,false,
FTPEnable,ftp,bool,false,false
FTPPassiveMode,ftp,bool,false,false
FTPAccount,ftp,int,false,
FTPServer,ftp,str,false,
FTPLogin,ftp,str,false,
FTPPassword,ftp,str,false,
FTPPath,ftp,str,false,
FTPPeriod,ftp,int,false,
ExpertsEnable,ea,bool,false,true
ExpertsExpImport,ea,bool,false,true
ExpertsDllImport,ea,bool,false,true
ExpertsTrades,ea,bool,false,true
Symbol,ea,str,false,
Period,ea,str,false,
Template,ea,str,false,
Expert,ea,str,false,
Script,ea,str,false,
ExpertParameters,ea,str,false,
ScriptParameters,ea,str,false,
TestExpert,tester,str,true,
TestExpertParameters,tester,str,true,
TestSymbol,tester,str,true,
TestPeriod,tester,str,true,M1
TestModel,tester,int,true,0
TestSpread,tester,int,true,Variable
TestOptimization,tester,bool,true,false
TestDateEnable,tester,bool,true,true
TestFromDate,tester,str,true,1970.01.01
TestToDate,tester,str,true,2026.12.31
TestReport,tester,str,true,report.html
TestReplaceReport,tester,bool,true,true
TestShutdownTerminal,tester,bool,true,true
